pc,"Professional Masonry Bit, 4 x 45 x 85"
pc,"Professional Masonry Bit, 5 x 50 x 95"
pc,"Professional Masonry Bit, 6 x 60 x 100 Powercraft"
pc,"Professional Masonry Bit, 65 x 6 x 101"
pc,"Professional Masonry Bit, 8 x 80 x 120 AEG brand"
pc,"Professional Masonry Bit, 10 x 80 x 120 AEG Brand"
pc,"Professional Masonry Bit, 12 x 90 x 150 Powercraft"
set,Stanley Combination Square
pc,"Stanley level bar, 24"""
pc,Stanley chalk line
pc,Stanley Hammer with handle
pc,"Spray gun heavy duty, for paint and varnishing used, LOTA KH808M-HVLP"
pc,"Nichlson Flat file 12"""
pc,"Butterfly Cut off wheel for metal, 350 x 3 x 25.4 mm, 14"" x 1/8"" x 1"""
pc,"Rubber caster 2"""
pc,Rigid thread Cutting oil (1 gallon)
5 gal,Yushiro Cutting coolant (18 liters) (5 gallon)
pc,"Grinding wheel 12"" x 1"" x 1"" Green 60 Carbide for metal (GICA)"
pc,"Grinding wheel 12"" x 1"" x 1"" Gray A60 for metal (GICA)"
pc,Energizer PRO2A1 flashlight with 2 batt heavy duty
pc,Everready VAL2D Led Heavy duty with batt
pc,Portable flashlight energizer without battery
set,Portable Oxygen tank with mask 5lbs with regulator and mask
pc,Foldable stretcher army type
unit,Admiral Shredder #S-828
unit,"Drinking fountain 40L cooling capacity, carbon filter"
pc,"GI clamp, 1/2"" gauge 16"
pc,"GI clamp, 3/4"" gauge 16"
pc,"GI clamp, 1"" gauge 16"
pc,"GI clamp, 1-1/2"" gauge 16"
pc,"GI clamp, 2"" gauge 16"
pc,"GI Utility box 2"" x 4"", Gauge 16 deep type"
pc,"GI Junction box 4"" x 4"" Gauge 16 deep type"
unit,Floater switch 1 hp MAC3 yellow or blue
unit,Floater switch 2 hp MAC3 yellow or blue
unit,Panasonic Aircon window type CW XC125VPH 1.5 HP with remote
pc,Makita HR2470 X5 4-24mm drilling diameter Rotary hammer drill
pc,Makita HR 2020 4-20 mm drilling diameter Rotary hammer drill
pc,Makita SR2440 Rotary hammer drill
pc,Makita HP1630 Hammer Drill
pc,Narrow flat chisel bit
unit,AEG SB630RE
unit,AEG BH24IE
pc,AEG Brill Bit 6mm
pc,AEG Drill bit 8mm
pc,AEG Drill bit 10mm
pc,AEG Drill bit 12mm
pc,AEG Pointed chisel bit 17 x 280
pc,AEG Pointed chisel bit 17 x 400
pc,AEG narrow flat chisel bit 17 x 280
pc,AEG norrow flat chisel bit 17 x 400
pc,"Circuit breaker, 20amp, 2p, plugin"
pc,Meco P-trap 1-1/4 #305
pc,Meco P-trap 1-1/2 #307
pc,Armstrong P-trap 1-1/4
pc,"Aluminum duct tape 4"" Clincher"
gal,"Gypsum putty, ABC"
gal,Paint thinner
roll,Amazon screen 1/16 x 4ft x 30m
kg,Iwata welding rods CJ421 2.5mm x 350mm
unit,"Push cart foldable, 500lbs, triple trolley 4401-00 rubbermaid"
pc,Stainless Allen Cap screw M3 X 10 MM
pc,Stainless Allen Cap screw M3 X 12 MM
pc,Stainless Allen Cap screw M3 X 16 MM
pc,Stainless Allen Cap screw M3 X 20 MM
pc,Stainless Allen Cap screw M4 X 16 MM
pc,Stainless Allen Cap screw M4 X 20 MM
pc,Stainless Allen Cap screw M4 X 25 MM
pc,Stainless Allen Cap screw M5 X 12 MM
pc,Stainless Allen Cap screw M5 X 16 MM
pc,Stainless Allen Cap screw M5 X 20 MM
pc,Stainless Allen Cap screw M5 X 25 MM
pc,Stainless Allen Cap screw M6 X 12 MM
pc,Stainless Allen Cap screw M6 X 16 MM
pc,Stainless Allen Cap screw M6 X 20 MM
pc,Stainless Allen Cap screw M8 X 16 MM
pc,Stainless Allen Cap screw M8 X 20 MM
pc,Stainless Nut M3
pc,Stainless Nut M4
pc,Stainless Nut M5
